Limits,Extraction des coordonnées (Centroid),Transfert H-D (Centroid), Kernel (Centroid), Extraction des coordonnées des références (RMSD), Extraction des coordonnées des cibles (RMSD), Transfert H-D (RMSD), Transfert D-H (RMSD), Ecriture dans la matrice globale (RMSD), Kernel (RMSD)
250,1.304,0.602,0.397,1.313,29.241,14.341,0.046,0.040,13.953
500,1.095,0.604,0.203,1.099,12.332,7.665,0.039,0.038,9.262
750,1.057,0.624,0.130,1.062,7.791,5.596,0.032,0.037,9.914
1000,1.042,0.605,0.105,1.044,5.936,4.295,0.028,0.037,9.873
1500,1.053,0.606,0.073,1.056,3.979,3.178,0.027,0.038,10.155
2000,1.073,0.576,0.053,1.075,3.070,2.483,0.028,0.038,10.585
4000,1.201,0.625,0.028,1.198,1.876,1.844,0.042,0.045,12.265
5000,1.319,0.601,0.028,1.316,1.890,1.590,0.052,0.048,12.885
7500,1.615,0.591,0.021,1.607,1.829,1.361,0.084,0.053,14.208
10000,1.920,0.624,0.021,1.922,2.028,1.325,0.131,0.063,16.274
12500,2.020,0.594,0.017,2.018,2.021,1.192,0.165,0.070,18.346
