x,y,temps
2,2,284.166
2,4,151.802
2,8,86.457
2,16,55.372
2,32,43.363
2,64,44.047
2,128,44.745
2,256,46.574
2,512,49.597
4,2,94.460
4,4,58.395
4,8,41.038
4,16,35.291
4,32,36.576
4,64,36.900
4,128,38.196
4,256,40.702
8,2,53.903
8,4,38.562
8,8,33.347
8,16,34.113
8,32,34.557
8,64,35.650
8,128,38.832
16,2,36.694
16,4,33.228
16,8,33.567
16,16,33.664
16,32,34.898
16,64,37.146
32,2,33.691
32,4,33.796
32,8,33.378
32,16,33.850
32,32,36.357
64,2,33.679
64,4,32.379
64,8,32.614
64,16,34.225
128,2,33.418
128,4,32.989
128,8,33.374
256,2,33.171
256,4,32.761
512,2,32.602
