Limits,Extraction des coordonnées (Centroid),Transfert H-D (Centroid), Kernel (Centroid), Extraction des coordonnées des références (RMSD), Extraction des coordonnées des cibles (RMSD), Transfert H-D (RMSD), Transfert D-H (RMSD), Ecriture dans la matrice globale (RMSD), Kernel (RMSD)
1,0.001,0.001,0,0.001,0.012,0.017,0.037,0.037,0.019
2,0.001,0.001,0,0.001,0.007,0.010,0.032,0.036,0.012
5,0.001,0.001,0,0.001,0.004,0.006,0.026,0.036,0.010
7,0.001,0.001,0,0.001,0.004,0.006,0.026,0.037,0.010
10,0.001,0.001,0,0.001,0.003,0.006,0.026,0.037,0.010
25,0.001,0.001,0,0.001,0.002,0.003,0.032,0.041,0.010
50,0.001,0.001,0,0.001,0.002,0.002,0.041,0.044,0.011
100,0.001,0.001,0,0.001,0.002,0.002,0.062,0.051,0.012
200,0.002,0.001,0,0.002,0.002,0.002,0.098,0.055,0.013
300,0.002,0.001,0,0.002,0.002,0.001,0.136,0.062,0.014
400,0.002,0.001,0,0.002,0.002,0.001,0.173,0.071,0.016
