x,y,temps
2,2,0.561
2,4,0.411
2,8,0.328
2,16,0.285
2,32,0.265
2,64,0.264
2,128,0.268
2,256,0.271
2,512,0.280
4,2,0.340
4,4,0.288
4,8,0.263
4,16,0.256
4,32,0.254
4,64,0.258
4,128,0.259
4,256,0.265
8,2,0.277
8,4,0.258
8,8,0.251
8,16,0.253
8,32,0.255
8,64,0.257
8,128,0.261
16,2,0.256
16,4,0.250
16,8,0.250
16,16,0.253
16,32,0.256
16,64,0.259
32,2,0.250
32,4,0.249
32,8,0.249
32,16,0.254
32,32,0.258
64,2,0.249
64,4,0.250
64,8,0.252
64,16,0.254
128,2,0.249
128,4,0.253
128,8,0.252
256,2,0.249
256,4,0.251
512,2,0.251
