x,y,temps
2,2,30.206
2,4,15.5
2,8,8.211
2,16,4.498
2,32,2.837
2,64,2.713
2,128,2.964
2,256,3.312
2,512,3.489
4,2,8.794
4,4,4.792
4,8,2.783
4,16,2.085
4,32,2.060
4,64,2.151
4,128,2.308
4,256,2.602
8,2,4.118
8,4,2.453
8,8,1.971
8,16,1.910
8,32,1.994
8,64,2.094
8,128,2.302
16,2,2.341
16,4,2.238
16,8,1.908
16,16,1.907
16,32,2.038
16,64,2.160
32,2,3.056
32,4,2.061
32,8,1.915
32,16,1.967
32,32,2.097
64,2,2.999
64,4,2.028
64,8,1.870
64,16,1.895
128,2,2.977
128,4,2.056
128,8,1.891
256,2,2.960
256,4,2.035
512,2,2.075
